heart_rate,enhanced_speed,cadence
148,2.725,88
149,2.762,88
149,2.79,88
150,2.79,88
151,2.781,88
151,2.771,88
152,2.753,88
152,2.734,88
153,2.706,87
153,2.697,87
154,2.678,87
154,2.659,87
154,2.65,88
155,2.641,88
155,2.594,88
155,2.585,88
156,2.585,88
156,2.585,88
156,2.585,87
156,2.585,87
157,2.575,87
158,2.566,87
158,2.557,87
158,2.547,88
159,2.538,88
159,2.529,88
159,2.519,88
160,2.51,88
160,2.501,88
160,2.501,88
160,2.491,88
161,2.491,88
161,2.482,88
161,2.482,88
161,2.473,88
161,2.463,88
161,2.463,87
162,2.463,87
162,2.454,87
162,2.454,87
162,2.445,87
162,2.435,86
162,2.426,86
162,2.417,87
163,2.417,87
163,2.407,87
163,2.407,87
163,2.398,87
163,2.398,87
163,2.389,87
163,2.379,87
164,2.379,87
164,2.37,87
164,2.37,87
164,2.361,87
164,2.351,87
164,2.342,87
164,2.333,87
164,2.333,87
164,2.323,87
165,2.314,87
165,2.314,87
165,2.314,87
165,2.305,87
165,2.305,88
165,2.295,88
165,2.295,88
165,2.295,88
165,2.295,88
165,2.295,88
165,2.295,88
165,2.305,88
165,2.305,89
165,2.305,89
165,2.305,89
165,2.305,89
165,2.314,89
165,2.314,89
165,2.314,89
165,2.314,89
165,2.323,89
165,2.323,89
166,2.323,89
166,2.333,89
166,2.333,89
166,2.333,89
167,2.333,89
167,2.333,89
167,2.333,89
167,2.342,88
167,2.342,88
168,2.342,88
168,2.351,89
168,2.351,89
168,2.351,89
168,2.351,89
168,2.351,89
168,2.351,89
168,2.351,89
168,2.361,89
169,2.361,89
169,2.361,89
169,2.361,89
169,2.361,89
169,2.361,89
169,2.361,89
169,2.361,89
169,2.361,89
169,2.361,89
169,2.361,89
169,2.361,89
169,2.361,89
169,2.37,89
169,2.37,89
169,2.37,90
169,2.37,90
169,2.37,90
169,2.379,90
169,2.379,90
169,2.379,90
169,2.389,89
169,2.389,89
169,2.389,90
169,2.398,90
169,2.398,89
169,2.398,89
169,2.407,89
169,2.407,89
169,2.407,90
169,2.417,91
169,2.417,91
168,2.426,91
169,2.426,91
169,2.435,91
169,2.435,91
169,2.445,91
169,2.445,90
169,2.454,89
169,2.463,89
169,2.473,90
169,2.482,91
169,2.482,91
169,2.491,90
169,2.501,90
169,2.51,89
169,2.519,89
169,2.519,90
169,2.529,90
169,2.538,90
169,2.547,91
169,2.547,91
169,2.547,91
169,2.557,91
169,2.557,90
169,2.557,90
169,2.566,90
169,2.575,90
169,2.575,90
169,2.585,90
169,2.585,90
169,2.585,90
169,2.594,90
169,2.594,90
168,2.603,90
168,2.603,90
168,2.603,90
168,2.603,90
168,2.603,90
168,2.603,90
168,2.603,90
168,2.603,90
168,2.603,90
168,2.603,91
168,2.613,91
168,2.613,91
168,2.613,90
168,2.622,90
168,2.622,90
167,2.631,90
167,2.631,90
167,2.641,90
167,2.641,91
167,2.65,92
167,2.65,92
167,2.659,90
167,2.659,90
167,2.659,90
167,2.669,90
167,2.669,90
167,2.669,90
167,2.678,90
167,2.678,90
167,2.678,91
167,2.678,91
167,2.678,91
167,2.678,90
167,2.687,90
167,2.687,91
167,2.687,91
167,2.687,91
168,2.697,91
168,2.697,90
168,2.697,90
168,2.697,90
168,2.706,90
168,2.706,91
168,2.706,91
168,2.706,91
168,2.706,91
168,2.706,91
168,2.706,91
168,2.706,91
168,2.706,91
168,2.706,91
168,2.706,91
168,2.706,90
168,2.706,90
168,2.706,90
168,2.706,90
168,2.706,90
168,2.706,90
168,2.706,90
168,2.706,90
168,2.706,90
168,2.706,90
168,2.706,90
168,2.706,90
168,2.706,90
168,2.706,91
168,2.715,91
168,2.715,91
167,2.715,91
167,2.715,90
167,2.715,90
167,2.725,90
167,2.725,90
167,2.725,90
167,2.725,90
167,2.734,90
167,2.734,90
167,2.734,90
167,2.734,90
167,2.743,90
167,2.743,91
167,2.743,91
167,2.753,91
167,2.753,91
167,2.762,91
167,2.762,90
167,2.762,90
167,2.762,90
167,2.771,90
167,2.771,90
167,2.771,90
167,2.781,90
167,2.781,90
167,2.781,90
167,2.781,90
167,2.781,90
167,2.79,90
167,2.79,90
167,2.79,91
167,2.79,91
167,2.79,90
167,2.79,90
167,2.781,91
167,2.781,91
167,2.771,91
167,2.771,90
167,2.771,90
167,2.762,90
167,2.762,90
167,2.762,91
167,2.762,91
166,2.762,90
166,2.762,90
166,2.762,90
166,2.762,90
166,2.762,90
166,2.762,91
166,2.762,91
165,2.762,91
165,2.762,90
165,2.762,90
165,2.762,90
164,2.762,90
164,2.762,90
164,2.762,90
163,2.762,89
163,2.762,89
163,2.762,89
162,2.762,89
162,2.762,89
162,2.771,89
161,2.771,89
161,2.771,89
161,2.781,89
160,2.781,89
160,2.79,89
159,2.799,90
159,2.799,91
158,2.809,91
158,2.818,91
157,2.818,91
157,2.818,91
156,2.827,91
156,2.827,91
156,2.827,91
156,2.827,91
155,2.837,91
155,2.837,91
155,2.837,91
154,2.837,91
154,2.827,91
154,2.827,90
154,2.827,90
153,2.827,90
153,2.818,90
153,2.818,90
153,2.818,90
153,2.818,90
153,2.818,90
153,2.809,91
152,2.809,91
152,2.809,91
152,2.809,91
152,2.809,91
152,2.809,91
153,2.818,92
153,2.818,92
153,2.818,91
153,2.818,91
153,2.818,90
153,2.818,90
153,2.827,90
153,2.827,90
153,2.827,91
153,2.827,91
153,2.837,91
154,2.837,91
154,2.827,91
154,2.827,91
154,2.837,91
154,2.837,91
155,2.837,90
155,2.827,90
155,2.799,90
156,2.79,90
156,2.771,90
156,2.762,90
157,2.762,90
158,2.762,90
158,2.771,90
159,2.79,90
159,2.809,89
159,2.818,89
160,2.818,88
160,2.827,88
160,2.837,87
161,2.846,87
161,2.846,87
161,2.855,86
162,2.855,86
162,2.865,85
162,2.874,85
162,2.893,85
162,2.902,85
162,2.911,85
162,2.921,85
162,2.93,85
162,2.939,86
162,2.948,86
162,2.967,87
162,2.976,87
161,2.976,87
161,2.986,87
161,2.995,87
161,3.004,87
160,3.014,87
160,3.014,87
159,3.023,87
159,3.023,87
158,3.023,87
158,3.023,85
157,3.023,83
156,3.014,83
155,3.004,81
155,2.995,81
154,2.976,80
153,2.948,80
152,2.93,80
152,2.921,80
151,2.902,79
150,2.893,80
150,2.874,81
149,2.865,84
148,2.865,85
148,2.855,87
147,2.855,88
146,2.865,88
146,2.865,88
145,2.874,88
145,2.883,88
145,2.883,88
145,2.893,88
144,2.893,88
145,2.893,88
145,2.902,88
145,2.902,88
145,2.902,88
145,2.902,89
146,2.911,89
146,2.911,90
147,2.911,90
147,2.921,90
148,2.93,90
149,2.93,90
150,2.939,90
150,2.948,90
151,2.958,90
151,2.958,90
152,2.967,90
152,2.976,90
153,2.986,90
153,2.995,90
154,2.995,91
154,3.004,91
155,3.014,91
155,3.014,90
155,3.023,90
156,3.023,90
156,3.032,90
156,3.032,90
157,3.032,91
157,3.032,91
157,3.032,90
157,3.032,89
157,3.032,89
157,3.032,89
157,3.032,89
157,3.032,89
157,3.032,89
157,3.032,89
157,3.032,89
157,3.032,89
